Latitude,Longitude,Stop Name,Stop Status
40.686354,-73.968902,GREENE AV/VANDERBILT AV,at stop
40.689764,-73.983121,FULTON ST/BOND ST,at stop
40.688588,-73.980137,FULTON ST/HUDSON AV,at stop
40.699147,-73.911412,PALMETTO ST/WYCKOFF AV,at stop
40.693342,-73.990591,CADMAN PLZ W/MONTAGUE ST,at stop
40.692902,-73.989107,ADAMS ST/BKLYN SUPREME CRT,approaching
40.689188,-73.981664,FULTON ST/FLATBUSH AV EXT,approaching
40.692229,-73.91938,GATES AV/EVERGREEN AV,approaching
40.686081,-73.95176,GATES AV/NOSTRAND AV,approaching
40.689461,-73.982356,FULTON ST/FLATBUSH AV EXT,approaching
40.696187,-73.990996,Tillary St (not used),approaching
40.689034,-73.926089,GATES AV/RALPH AV,< 1 stop away
40.689017,-73.926238,GATES AV/RALPH AV,< 1 stop away
40.691477,-73.987399,JORALEMON ST/COURT ST,< 1 stop away
