line,station,trips
A,Acoyte,40.7288639589
A,Alberti,10.0064381746
A,Carabobo,45.5294075455
A,Castro Barros,29.100598035
A,Congreso,14.9828720815
A,Flores,43.9612159329
A,Lima,9.86743155742
A,Loria,20.2766188614
A,Pasco,13.7322496263
A,Peru,5.10708790645
A,Piedras,6.63241053342
A,Plaza Miserere,23.774019741
A,Plaza de Mayo,15.727472029
A,Primera Junta,44.0826033353
A,Puan,43.905982906
A,Rio de Janeiro,45.3378055713
A,Saenz Pena,12.7613425926
A,San Pedrito,99.2255812578
B,Angel Gallardo,65.6532055007
B,Callao,26.2952798054
B,Carlos Gardel,25.1469768336
B,Carlos Pellegrini,22.539600921
B,Dorrego,45.8851486617
B,Echeverria,45.4601973369
B,Federico Lacroze,51.1063343895
B,Florida,7.55734054398
B,Leandro N. Alem,42.454500657
B,Los Incas,59.7352094133
B,Malabia,75.1223509934
B,Medrano,54.1612562428
B,Pasteur,18.8105515588
B,Pueyrredon,24.6433871338
B,Rosas,110.943872297
B,Tronador,46.6225127914
B,Uruguay,14.6100278552
C,Avenida de Mayo,9.5266417617
C,Constitucion,92.8927342176
C,Diagonal Norte,7.55981080256
C,General San Martin,11.4524100807
C,Independencia,21.7538135593
C,Lavalle,4.99531377343
C,Mariano Moreno,8.42589567679
C,Retiro,68.8519526401
C,San Juan,35.3920134983
D,9 de julio,19.3565379246
D,Aguero,63.1768241543
D,Bulnes,50.7210565755
D,Callao.,27.1869757799
D,Catedral,15.4924098672
D,Congreso de Tucuman,87.401347936
D,Facultad de Medicina,27.2589515477
D,Jose Hernandez,38.0249010435
D,Juramento,55.7786185799
D,Ministro Carranza,40.0010487177
D,Olleros,39.5913180066
D,Palermo,62.6577861163
D,Plaza Italia,41.8466591166
D,Pueyrredon.,76.7427247451
D,Scalabrini Ortiz,60.1466622088
D,Tribunales,14.8455475559
E,Avenida La Plata,55.8638888889
E,Boedo,48.694363742
E,Bolivar,5.25931735006
E,Emilio Mitre,83.335097493
E,Entre Rios,34.712267658
E,General Belgrano,7.28615819209
E,Independencia,19.1763799384
E,Jose Maria Moreno,80.2299583911
E,Jujuy,19.5866221975
E,Medalla Milagrosa,27.9032074397
E,Pichincha,19.9709334824
E,Pza. de los Virreyes,102.566135347
E,San Jose,19.3658604393
E,Urquiza,29.0411907882
E,Varela,54.4511991076
H,Caseros,18.2228630583
H,Corrientes,7.12685078232
H,Hospitales,31.3208540925
H,Humberto I,13.9079062958
H,Inclan,17.1172383847
H,Once,10.5181465226
H,Patricios,24.3962816572
H,Venezuela,14.3028701985
